"","1P","2PS","2PP","3PP"
"DASE_C",13.4287831349635,5.52729220744347,2.06483062620598,5.20107010096033
"DASE_O",13.3752681543985,5.27869461717503,1.95193597504322,9.17182475342387
"AD_S",13.8285322314616,5.62690187716515,1.65108358919686,5.54859790212386
"POET_S",9.23805923417329,8.22342702426983,0.419736972958616,10.769728818889
"NREL_S",12.443056245665,5.17986006464637,3.59203483511398,5.22836079063876
"AD_N",11.7789832059088,7.20916953459366,0.287271630106809,7.23236164869108
"POET_N",6.4602302950727,8.71087828053806,1.40420907632073,10.3503747894897
"NREL_N",9.71946802554173,5.53157457405288,1.24196108838591,9.09562595856085
"CS_N",5.16546595817586,3.9747365237962,2.53221982480399,7.83867708851542
"GWC16",0.86682506594173,11.1579458762875,12.215410454342,16.9848883509292
"GWC20",0.0495105199279682,13.607040819532,12.3857946755851,17.1654449646738
