,days,1P,2PS,2PP,3PP,1P.1,2PS.1,2PP.1,3PP.1,1P.2,2PS.2,2PP.2,3PP.2,1P.3,2PS.3,2PP.3,3PP.3,1P.4,2PS.4,2PP.4,3PP.4,1P.5,2PS.5,2PP.5,3PP.5,1P.6,2PS.6,2PP.6,3PP.6,1P.7,2PS.7,2PP.7,3PP.7,1P.8,2PS.8,2PP.8,3PP.8,1P.9,2PS.9,2PP.9,3PP.9,1P.10,2PS.10,2PP.10,3PP
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1.691604381,15.0000574,10.75488729,42.79174352,1.638165629,15.07224161,10.80500294,15.77914875,2.281560833,12.28087113,9.735102415,33.51738278,0.912342901,4.132634222,2.632603848,4.811429668,2.146168739,11.95202672,6.062576841,43.61317153,1.325184204,7.823388311,5.959073179,23.38527756,0.547302066,2.617226891,1.240465262,3.405067084,1.348892027,6.295591884,2.979998495,22.92909648,1.861406888,9.31111313,2.206183748,2.266145278,0.335721268,0.548805761,0.477484284,0.498474637,0.333893934,0.49703611,0.447155341,0.486872304
3,2,3.380822604,27.81335053,20.6291286,43.96469261,3.274093048,27.87748526,20.69183124,28.94177217,4.558794117,23.50744595,18.94817705,37.51995305,1.823997194,7.920923223,5.184289936,8.991125062,4.288739626,22.40509856,11.93070557,42.91926811,2.648347992,14.89792165,11.5858675,25.07272168,1.094260619,4.963143965,2.45535963,6.08411853,2.69577815,11.82901045,5.89347979,22.7570629,3.7188803,10.95510096,4.399401582,4.510268139,0.671234154,1.085773467,0.950950783,0.991065651,0.667579522,0.986382724,0.891128722,0.966279968
4,3,5.067658033,38.76789581,29.69485088,49.12299861,4.907785315,38.76607597,29.73853074,39.93928268,6.831707859,33.77439902,27.66721806,44.14155198,2.734963398,11.3967664,7.657545761,12.64090755,6.427719507,31.56554479,17.61062477,46.65340725,3.969494442,21.29863606,16.89891189,28.77031489,1.640875876,7.069855876,3.64521286,8.22290717,4.040661351,16.70615178,8.741927961,24.84473979,5.572428315,12.8189561,6.579732478,6.732972584,1.006538787,1.611366454,1.420433608,1.477891379,1.001056894,1.468267163,1.331942338,1.438478234
5,4,6.75211361,48.14211293,38.01825007,52.96142208,6.539245103,48.03378897,38.01648112,49.14440802,9.100310258,43.16783558,35.91870655,49.74040189,3.645241967,14.58909716,10.05478263,15.84575486,8.563113135,39.61105129,23.10837052,49.14379552,5.288626247,27.09297649,21.9156941,31.76721063,2.187148025,8.965645702,4.81054058,9.958802564,5.383544236,21.01803234,11.52679615,26.29706207,7.422059278,14.52714813,8.747251374,8.934839388,1.341635279,2.126029327,1.885967049,1.959061539,1.334326163,1.942906554,1.769619899,1.903705839
6,5,8.434193252,56.17288654,45.66010537,56.91488453,8.16847597,55.93086289,45.59100363,56.8658201,11.36460983,51.76615342,43.72771792,55.31597267,4.554833506,17.52416928,12.37833531,18.67678452,10.69492745,46.69494323,28.4297834,51.91355457,6.605746991,32.34166452,26.6527365,34.80161787,2.733077317,10.6754571,5.951848164,11.39412996,6.724430276,24.84311054,14.24950246,27.89752373,9.267781788,16.26802183,10.90203351,11.11642788,1.676523782,2.6301891,2.347583981,2.434684818,1.667387481,2.410512532,2.204183282,2.362195341
7,6,10.11390017,63.06136525,52.67622193,60.6097323,9.795480835,62.6689228,52.52187062,63.35884961,13.62461464,59.64071532,51.11797723,60.61246695,5.463738514,20.22580541,14.63046907,21.193455,12.82316828,52.94940491,33.58051979,54.55548562,7.92085961,37.09933573,31.1256361,37.68144436,3.278663958,12.22128183,7.069630476,12.60487705,8.063322317,28.24891631,16.91143412,29.43648752,11.109604,17.99548522,13.04415371,13.27827688,2.011204419,3.12425583,2.805317356,2.90486768,2.000240973,2.871290228,2.635654648,2.814170386
8,7,11.79123771,68.97889968,59.11784044,64.15654311,11.42026274,68.42688262,58.86378284,68.83478693,15.88033283,66.85647791,58.11193861,65.71002693,6.371957507,22.71562096,16.81337909,23.44550041,14.94784161,58.48846741,38.56605372,57.17947809,9.233967169,41.41515539,35.34912111,40.46358986,3.823908163,13.62250722,8.164372402,13.64756437,9.400223324,31.29359482,19.51394797,30.97034776,12.94753416,19.72217683,15.17368639,15.42090588,2.34567732,3.608623709,3.259199844,3.369713873,2.332886768,3.325438827,3.064055999,3.259846479
9,8,13.46620922,74.07087784,65.03199653,67.53522724,13.04282472,73.35603677,64.66677767,73.46843737,18.13177253,73.47255016,64.73085387,70.5979611,7.279491004,25.01322512,18.92919309,25.47451759,17.06895342,63.41046859,43.39168365,59.75678568,10.54507272,45.33335002,39.33709952,43.1379893,4.368810148,14.89622578,9.236548937,14.56420726,10.73513626,34.02722024,22.05837025,32.48416882,14.78158048,21.44466708,17.2907055,17.54481524,2.679942612,4.083671266,3.709263832,3.829325023,2.665324995,3.773151692,3.489409171,3.699431362
10,9,15.13881804,78.46102567,70.46188158,70.76107448,14.66316981,77.58431887,69.9766531,77.40450664,20.37894185,79.54275741,70.99483434,75.28998859,8.186339521,27.13641725,20.97997343,27.31530149,19.18650969,67.80018823,48.0625384,62.29609931,11.85417932,48.89373818,43.10270372,45.71248618,4.913370127,16.05751661,10.28662521,15.38604643,12.06806408,36.49291358,24.54599766,33.98229898,16.61175118,23.16394009,19.39528459,19.65048703,3.014000426,4.549762074,4.155541447,4.28380049,2.997555785,4.214616414,3.911735852,4.133125313
