"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"2",74,118.301269640595,46736.895779549,46736.5737796485,114.720893168838,46784.1177671839,46827.4635586218,157.217404369176,46671.4968235375,46667.0402200889,65.5215662528987,48038.7631050938,48047.9316710158,149.495408077667,52442.9384280957,52456.9342648822,92.4567231182469,23121.2471574103,23135.6425377536,39.516731928445,24609.1359782156,24622.6653118948,94.7093949910817,26165.3293257253,26176.7630617982,128.919010752625,25084.2615010096,25097.7522457302,24.3074455782016,24.3607082055827,24.3623038230463,24.15633029113,NA,NA
"3",147,224.932112470443,42694.0346670779,42693.7400889942,218.464995233559,42737.1280907165,42776.6991724457,293.885317086615,42634.3208405057,42630.2464406197,127.491539833252,43882.4330535958,43890.7978396326,281.5345008854,47903.2882721371,47916.0600472526,175.078356171562,21133.9076516071,21147.0440556864,77.2426705814931,22492.2131618771,22504.5590586546,179.529755596011,23912.9172666519,23923.3498697366,238.968084335376,22925.9890268113,22938.2996767968,47.522502850894,47.6258062203581,47.6272830931409,47.2221627609811,NA,NA
"4",220,321.044117613534,43805.4520032568,43805.1493172941,312.282844771984,43849.6333167858,43890.2158109091,412.691961254878,43744.2044716497,43740.0204973631,186.102594715938,45024.2274810328,45032.8009197226,398.156747140596,49147.7469746864,49160.8401596186,248.911527063305,21694.5930191448,21708.0597294949,113.25902588796,23087.598650125,23100.2547430132,255.494032196174,24544.6552188411,24555.3542361521,332.913777574894,23532.4655220056,23545.0854911273,69.6942924869615,69.8428204822741,69.8443920237469,69.2467547269994,NA,NA
"5",293,407.674771482022,43534.4346137159,43534.1332735724,397.124043484927,43578.3093209771,43618.6230345307,515.970133975441,43473.5856470124,43469.4232333508,241.536562749335,44745.1569248551,44753.667532414,501.161739747558,48840.9933363074,48853.9947751763,314.89091949474,21571.2233498093,21584.5952451907,147.643179775022,22954.9315503749,22967.4978185242,323.526751397449,24402.2409585678,24412.8552408905,413.108542307302,23396.836481938,23409.3670722623,90.8696529416252,91.0591700549453,91.0607814690662,90.2770640526635,NA,NA
"6",366,485.759394901621,43632.7432542185,43632.4408076413,473.847491237044,43676.6835631143,43717.0694124056,605.750099501723,43571.7782141206,43567.6029993562,293.965728659235,44845.6178800397,44854.1386415976,592.139574941227,48948.8325809678,48961.8521958489,373.851971447139,21629.9972904992,21643.3878614653,180.469121635107,23016.1214580061,23028.7058618219,384.456073618304,24466.0194242461,24476.7488711158,481.566589110715,23458.8282416903,23471.3770796161,111.093369557371,111.319868219448,111.32153141566,110.357981754623,NA,NA
"7",439,556.140983410081,43630.9376642132,43630.6348635335,543.229833141869,43674.8437727449,43715.2096743319,683.79591376623,43569.995464356,43565.817555966,343.552964983338,44843.1893091115,44851.7014046894,672.494592719114,48944.4415765828,48957.4502315854,426.541260083838,21638.8373677904,21652.2165316045,211.807463284496,23024.2303517392,23036.8042019343,439.023697841003,24473.4151952765,24484.1819994661,540.006218745806,23466.7329358839,23479.2712382369,130.4082114576,130.667987583465,130.669687378615,129.532368208203,NA,NA
"8",512,619.579589940816,43654.9088157627,43654.605493174,605.973633226266,43698.8082611129,43739.1789623864,751.641265716905,43593.8676707674,43589.7695054542,390.452288275129,44867.1965120918,44875.7051483575,743.467004650487,48969.082412211,48982.0882506483,473.625797443466,21660.0096744008,21673.3844172412,241.725613472496,23045.4551080197,23058.0261030979,487.893754360197,24494.8235566334,24505.7031963599,589.892828711628,23488.0239258767,23500.5593344178,148.855020791429,149.14462418007,149.146351176538,147.84114412457,NA,NA
"9",585,676.76008450696,43670.8083692991,43670.5046675702,662.714028528769,43714.694375688,43755.0632355763,810.619062858332,43609.7055180884,43605.6612559008,434.809418130678,44882.9588074486,44891.4637078238,806.152251755158,48984.7669109812,48997.7686267501,515.701856660757,21676.6466794609,21690.0173302502,270.287936055902,23062.0551931569,23074.6223950171,531.661184134208,24511.4128035548,24522.1858800559,632.478446698484,23504.6162103157,23517.1478030381,166.472809845939,166.789018744333,166.790779003308,165.323388606694,NA,NA
"10",658,728.299825999894,43687.9017462033,43687.5975783698,714.025439788453,43731.7768705995,43772.1456758685,861.888670318947,43626.797338984,43622.7442054158,476.762164791231,44900.0360211733,44908.5368503887,861.518369641687,49001.8887468823,49014.8862415816,553.302276995538,21693.5752690423,21706.9633814262,297.555874353268,23078.9441858203,23091.5074319398,570.858857447082,24528.3118188608,24539.098020987,668.831494674089,23521.5176342723,23534.0452553968,183.298835946332,183.638662054462,183.64045710505,182.016414807825,NA,NA
