YEAR,days,DASE_AVG,AD_S,POET_S,NREL_S,AD_N,POET_N,NREL_N,CS_N,GWC16,PALOUSE,CS_1P,AD_1P,CCBP_P,DASE_1P,VERSHIRE,CS_1V,AD_1V,CCBP_V,DASE_1V
0,1,232.4554043,334.0319825,236.1833247,261.1231298,166.808656,118.0183491,130.44866,345.811145,540.873971,514.4336596,631.2229834,272.4570612,222.902943,235.7925722,1113.366093,639.004033,269.1582975,223.2655289,234.4420614
0.2,74,81.77319045,161.1013479,197.8591823,133.0742557,60.82379829,95.89899734,63.63569818,0,514.6931143,488.5746725,478.1804207,231.6118254,167.1603152,181.098442,1091.702526,482.0436335,221.9893945,167.7108736,178.8555457
0.4,147,89.92183219,163.6825386,195.6877861,122.879082,64.93934481,94.85602308,54.59810736,0,500.6123133,469.0582864,396.671252,218.9899615,146.9312741,184.5117359,1070.460481,402.0560809,212.0520236,148.2404465,182.8735819
0.6,220,79.53572725,145.624603,187.4934989,99.75335346,54.52824255,89.22533955,38.38824009,0,492.9997075,454.3252651,334.7037582,210.4517527,125.4427199,180.3731416,1049.631763,346.3051399,201.3611033,128.9046883,180.8658305
0.8,293,72.60059389,131.3417166,179.4131686,80.13426505,45.87058614,83.26216238,23.76796661,0,488.8945761,443.204271,280.3081993,202.1845631,105.5737457,176.7675141,1029.208324,300.2842122,191.7596943,111.4053133,180.4388313
1,366,296.515602,449.4682364,406.8159318,321.4664522,202.5948241,194.6808733,139.5820212,345.811145,486.6781015,434.809352,860.9744557,465.7256283,309.413198,407.7296698,1009.182276,897.8544675,451.485747,318.0875498,413.9905643
1.2,439,137.4904502,261.0774887,359.6765215,174.7855041,86.58765576,165.8553363,63.63569818,0,485.4820376,428.4724632,660.4601936,415.4226401,235.7335033,347.7638986,989.5458913,702.5060941,395.2658819,247.0194099,357.5998066
1.4,512,137.248473,248.4132898,348.7147375,146.9030727,80.68126607,158.0964654,54.59810736,0,484.8363881,423.6890191,534.3617842,392.9669815,198.6574016,345.4892141,970.291586,586.5797416,376.5872865,212.9930601,360.7539571
1.6,585,118.6162064,215.5494826,331.8639503,107.1282038,60.44230309,145.8403029,38.38824009,0,484.4878886,420.0781908,430.6399316,374.3877481,161.4284035,335.4165312,951.4119258,497.0874697,357.4712866,180.0229364,357.8637654
1.8,658,103.5904315,186.9155626,315.2956317,80.13426505,45.87058614,133.3799317,23.76796661,0,484.2997331,417.3525236,337.2664461,356.0002377,126.8975439,325.7166287,932.899621,419.3700011,339.7462576,149.7571273,356.5256061
2,731,319.5993422,491.1723414,534.400968,321.4664522,202.5948241,238.4518365,139.5820212,345.811145,484.1980849,415.2950062,881.6477476,609.4386575,317.1175095,550.5002993,914.7475238,987.1732779,591.6418181,344.4954762,589.1417646
2.2,804,152.858634,289.391657,479.162388,174.7855041,86.58765576,203.4384922,63.63569818,0,484.1431544,413.741959,647.4325205,549.1215575,235.7335033,484.3251182,896.9486253,763.886135,527.8748975,262.2614091,531.7912258
2.4,877,145.0943467,263.8105288,460.3018332,146.9030727,80.68126607,189.6536063,54.59810736,0,484.1134482,412.5695817,490.091828,516.7917597,198.6574016,475.850567,879.4960531,621.7556071,501.9236857,217.8051312,533.9626824
2.6,950,119.1316467,218.4908681,435.7513095,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0973624,411.6845678,357.4508634,488.5148977,161.4284035,459.6171417,862.3830685,507.7054883,475.800681,180.0229364,530.0677918
2.8,1023,103.5904315,186.9155626,411.6792249,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0886539,411.0164961,237.3415463,460.631666,126.8975439,443.8173299,845.6030638,419.3700011,451.3257214,149.7571273,527.7040403
3,1096,319.5993422,491.1723414,623.4728539,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0838837,410.512198,881.6477476,704.7933625,317.1175095,662.5776384,829.1495601,987.1732779,696.7201211,344.4954762,759.2745805
3.2,1169,152.858634,289.391657,561.1102726,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0812494,410.1314961,647.4325205,635.4294202,235.7335033,590.4668756,813.0162042,763.886135,626.6927827,262.2614091,700.8593532
3.4,1242,145.0943467,263.8105288,535.3089094,146.9030727,80.68126607,193.43979,54.59810736,0,484.0797677,409.8440977,490.091828,594.2888771,198.6574016,576.1523557,797.1967669,621.7556071,594.7140841,217.8051312,701.9479609
3.6,1315,119.1316467,218.4908681,503.9962242,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0789096,409.6271277,357.4508634,557.4401512,161.4284035,554.1798666,781.6851401,507.7054883,562.7889675,180.0229364,696.9529457
3.8,1388,103.5904315,186.9155626,473.3361172,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0783868,409.463321,237.3415463,521.2241803,126.8975439,532.7452888,766.4753344,419.3700011,532.7299568,149.7571273,693.4726539
4,1461,319.5993422,491.1723414,678.7114209,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0780447,409.3396447,881.6477476,757.2906423,317.1175095,745.9770928,751.5614771,987.1732779,772.7512624,344.4954762,923.9110745
4.2,1534,152.858634,289.391657,610.0958711,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0778002,409.246261,647.4325205,680.0660044,235.7335033,668.4449873,736.9378096,763.886135,697.5548965,262.2614091,864.3489606
4.4,1607,145.0943467,263.8105288,578.2026518,146.9030727,80.68126607,193.43979,54.59810736,0,484.0776083,409.1757436,490.091828,631.295377,198.6574016,648.8163964,722.5986857,621.7556071,660.604557,217.8051312,864.276705
4.6,1680,119.1316467,218.4908681,540.9550785,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0774449,409.1224869,357.4508634,587.0425716,161.4284035,621.6366336,708.5385686,507.7054883,623.8987093,180.0229364,858.1076183
4.8,1753,103.5904315,186.9155626,504.5130107,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0772968,409.0822595,237.3415463,543.6434596,126.8975439,595.1006754,694.7520296,419.3700011,589.2436016,149.7571273,853.4407929
5,1826,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0771569,409.0518673,881.6477476,772.7423536,317.1175095,803.3357756,681.2337453,987.1732779,824.8473593,344.4954762,1082.680943
5.2,1899,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0770215,409.0288992,647.4325205,688.7601773,235.7335033,720.9102014,667.9784963,763.886135,745.406096,262.2614091,1021.909525
5.4,1972,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0768884,409.0115352,490.091828,633.4364088,198.6574016,696.4897773,654.9811645,621.7556071,704.3777918,217.8051312,1020.617616
5.6,2045,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0767568,408.9984014,357.4508634,587.0425716,161.4284035,664.6181079,642.2367313,507.7054883,663.7553658,180.0229364,1013.219192
5.8,2118,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0766258,408.9884609,237.3415463,543.6434596,126.8975439,633.4883893,629.7402759,419.3700011,625.3396928,149.7571273,1007.313989
6,2191,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0764953,408.9809308,881.6477476,772.7423536,317.1175095,837.2260515,617.4869732,987.1732779,857.3336917,344.4954762,1235.307349
6.2,2264,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0763649,408.9752201,647.4325205,688.7601773,235.7335033,750.3975147,605.472092,763.886135,774.4284281,262.2614091,1173.281335
6.4,2337,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0762346,408.9708829,490.091828,633.4364088,198.6574016,721.6667496,593.6909933,621.7556071,730.0769918,217.8051312,1170.727616
6.6,2410,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0761044,408.9675825,357.4508634,587.0425716,161.4284035,685.5755108,582.139128,507.7054883,686.2675615,180.0229364,1162.060738
6.8,2483,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0759742,408.9650647,237.3415463,543.6434596,126.8975439,650.3151572,570.8120359,419.3700011,644.7964175,149.7571273,1154.880994
7,2556,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.075844,408.9631376,881.6477476,772.7423536,317.1175095,850.0093002,559.7053433,987.1732779,873.8620273,344.4954762,1381.594265
7.2,2629,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0757139,408.9616564,647.4325205,688.7601773,235.7335033,759.2225654,548.8147619,763.886135,788.1511438,262.2614091,1318.283136
7.4,2702,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0755837,408.9605119,490.091828,633.4364088,198.6574016,726.6171549,538.1360865,621.7556071,741.112677,217.8051312,1314.439783
7.6,2775,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0754536,408.9596214,357.4508634,587.0425716,161.4284035,686.7330838,527.6651939,507.7054883,694.7307562,180.0229364,1304.479244
7.8,2848,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0753235,408.9589227,237.3415463,543.6434596,126.8975439,650.3151572,517.3980412,419.3700011,650.7977385,149.7571273,1296.002289
8,2921,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0751933,408.9583688,881.6477476,772.7423536,317.1175095,850.0093002,507.3306641,987.1732779,877.5082913,344.4954762,1521.415257
8.2,2994,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0750632,408.9579242,647.4325205,688.7601773,235.7335033,759.2225654,497.4591753,763.886135,789.5454862,262.2614091,1456.801185
8.4,3067,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.074933,408.9575621,490.091828,633.4364088,198.6574016,726.6171549,487.7797633,621.7556071,741.112677,217.8051312,1451.652679
8.6,3140,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0748029,408.9572622,357.4508634,587.0425716,161.4284035,686.7330838,478.2886908,507.7054883,694.7307562,180.0229364,1440.385198
8.8,3213,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0746727,408.9570094,237.3415463,543.6434596,126.8975439,650.3151572,468.982293,419.3700011,650.7977385,149.7571273,1430.599917
9,3286,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0745426,408.956792,881.6477476,772.7423536,317.1175095,850.0093002,459.8569767,987.1732779,877.5082913,344.4954762,1654.703571
9.2,3359,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0744125,408.9566015,647.4325205,688.7601773,235.7335033,759.2225654,450.9092184,763.886135,789.5454862,262.2614091,1588.779574
9.4,3432,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0742823,408.9564311,490.091828,633.4364088,198.6574016,726.6171549,442.1355632,621.7556071,741.112677,217.8051312,1582.320903
9.6,3505,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0741522,408.956276,357.4508634,587.0425716,161.4284035,686.7330838,433.5326235,507.7054883,694.7307562,180.0229364,1569.743372
9.8,3578,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.074022,408.9561325,237.3415463,543.6434596,126.8975439,650.3151572,425.0970774,419.3700011,650.7977385,149.7571273,1558.648502
10,3651,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0738919,408.9559976,881.6477476,772.7423536,317.1175095,850.0093002,416.8256681,987.1732779,877.5082913,344.4954762,1781.443358
10.2,3724,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0737618,408.9558693,647.4325205,688.7601773,235.7335033,759.2225654,408.7152016,763.886135,789.5454862,262.2614091,1714.21168
10.4,3797,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0736316,408.9557459,490.091828,633.4364088,198.6574016,726.6171549,400.7625464,621.7556071,741.112677,217.8051312,1706.446754
10.6,3870,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0735015,408.9556263,357.4508634,587.0425716,161.4284035,686.7330838,392.9646319,507.7054883,694.7307562,180.0229364,1692.564694
10.8,3943,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0733713,408.9555095,237.3415463,543.6434596,126.8975439,650.3151572,385.3184472,419.3700011,650.7977385,149.7571273,1680.167311
11,4016,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0732412,408.9553949,881.6477476,772.7423536,317.1175095,850.0093002,377.8210398,987.1732779,877.5082913,344.4954762,1901.661953
11.2,4089,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.073111,408.9552818,647.4325205,688.7601773,235.7335033,759.2225654,370.4695151,763.886135,789.5454862,262.2614091,1833.132626
11.4,4162,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0729809,408.95517,490.091828,633.4364088,198.6574016,726.6171549,363.2610344,621.7556071,741.112677,217.8051312,1824.072879
11.6,4235,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0728508,408.9550591,357.4508634,587.0425716,161.4284035,686.7330838,356.1928144,507.7054883,694.7307562,180.0229364,1808.899077
11.8,4308,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0727206,408.9549489,237.3415463,543.6434596,126.8975439,650.3151572,349.262126,419.3700011,650.7977385,149.7571273,1795.213274
12,4381,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0725905,408.9548392,881.6477476,772.7423536,317.1175095,850.0093002,342.466293,987.1732779,877.5082913,344.4954762,2015.42305
12.2,4454,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0724603,408.9547299,647.4325205,688.7601773,235.7335033,759.2225654,335.8026916,763.886135,789.5454862,262.2614091,1945.612638
12.4,4527,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0723302,408.9546209,490.091828,633.4364088,198.6574016,726.6171549,329.2687488,621.7556071,741.112677,217.8051312,1935.275801
12.6,4600,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0722001,408.9545121,357.4508634,587.0425716,161.4284035,686.7330838,322.8619417,507.7054883,694.7307562,180.0229364,1918.829114
12.8,4673,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0720699,408.9544035,237.3415463,543.6434596,126.8975439,650.3151572,316.5797966,419.3700011,650.7977385,149.7571273,1903.87483
13,4746,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0719398,408.954295,881.6477476,772.7423536,317.1175095,850.0093002,310.4198878,987.1732779,877.5082913,344.4954762,2122.820722
13.2,4819,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0718096,408.9541867,647.4325205,688.7601773,235.7335033,759.2225654,304.3798369,763.886135,789.5454862,262.2614091,2051.751208
13.4,4892,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0716795,408.9540783,490.091828,633.4364088,198.6574016,726.6171549,298.4573117,621.7556071,741.112677,217.8051312,2040.16023
13.6,4965,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0715494,408.9539701,357.4508634,587.0425716,161.4284035,686.7330838,292.6500254,507.7054883,694.7307562,180.0229364,2022.464532
13.8,5038,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0714192,408.9538619,237.3415463,543.6434596,126.8975439,650.3151572,286.9557358,419.3700011,650.7977385,149.7571273,2006.266531
