,,DASE_C,,,,DASE_O,,,,AD_S,,,,POET_S,,,,NREL_S,,,,AD_N,,,,POET_N,,,,NREL_N,,,,CS_N,,,,GWC16,,,,GWC20,,,
,days,1P,2PS,2PP,3PP,1P.1,2PS.1,2PP.1,3PP.1,1P.2,2PS.2,2PP.2,3PP.2,1P.3,2PS.3,2PP.3,3PP.3,1P.4,2PS.4,2PP.4,3PP.4,1P.5,2PS.5,2PP.5,3PP.5,1P.6,2PS.6,2PP.6,3PP.6,1P.7,2PS.7,2PP.7,3PP.7,1P.8,2PS.8,2PP.8,3PP.8,1P.9,2PS.9,2PP.9,3PP.9,1P.10,2PS.10,2PP.10,3PP
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,74,117.4208332,456.8265095,304.6053628,2919.073936,113.8900375,459.2472619,306.2483343,486.5446598,155.6764656,372.0421259,281.0162201,2160.186694,64.8232027,135.6784063,88.0208484,162.1155142,147.5810027,392.0347824,199.4573876,3100.386477,91.61568544,238.1505721,171.230001,1555.470668,39.0635178,89.37900442,49.12553461,120.9997911,93.3786896,217.0750332,113.9690787,1630.79963,126.0455041,616.7107321,131.3456404,132.1656328,23.96795105,27.21070902,26.18085667,26.3927328,23.83469185,26.00568885,25.55940402,26.15542538
3,147,223.3443102,448.4430359,279.0122658,2671.796101,216.9617105,449.2304848,280.315842,470.6038643,291.2043287,380.9605455,264.1693371,1986.63696,126.1701211,155.9631965,92.97712612,172.7696688,278.1499405,435.2446512,208.1530886,2881.693721,173.5744085,244.0002801,160.2717353,1429.66601,76.37708365,106.4397319,58.78158439,132.0069307,177.1442906,256.9775222,132.9246166,1532.788335,234.053032,676.018502,216.6925937,223.6204641,46.87381459,44.60436942,40.26165767,41.57469696,46.60773205,43.35897141,40.70799909,43.46651468
4,220,318.8964917,486.4317185,285.9809285,2739.102124,310.2428909,486.0764253,287.3516624,495.406591,409.1934912,424.6890224,269.7298995,2035.643539,184.2273331,186.9880512,94.57234805,183.7315247,393.6688737,508.9307671,211.5768772,2964.226953,246.8944806,272.4350904,163.7387526,1465.152377,112.0191433,130.1400049,61.18345987,144.5344668,252.2868114,310.9040345,137.3711894,1585.400315,326.6079724,776.3408547,272.2199439,293.6256469,68.76468045,61.64381079,47.87426346,52.32139484,68.36643519,59.74153699,49.7102469,58.22212854
5,293,405.0927015,511.0332533,284.114609,2721.093014,394.6634122,509.4906485,285.4672906,501.4623683,511.9121902,457.3599266,268.2583867,2022.634322,239.1710225,214.1798407,94.44507866,186.4186239,495.8721181,569.0904369,211.193096,2949.798695,312.4862996,293.8555346,162.8187086,1455.746503,146.0644906,151.2827854,61.63100395,149.8687572,319.6938184,356.7813759,138.0131365,1583.080463,405.9176306,849.8909418,308.3274985,346.8461153,89.68548396,77.92858982,51.97939492,60.1854621,89.15593915,75.41497879,55.05363431,70.65507712
6,366,482.849024,538.2886483,284.6162604,2725.920417,471.064936,535.6544395,285.9738216,507.6995986,601.3373867,491.3873267,268.6540183,2026.130306,291.1682346,241.4836338,94.5110672,187.9880399,586.2946362,627.8524619,211.3468348,2956.139739,371.1644713,316.2408454,163.0662171,1458.272976,178.5846739,172.355369,61.75025546,153.3199043,380.1616437,400.8110086,138.1944026,1588.965398,473.8787988,916.9780088,331.8122398,387.4972834,109.6792146,93.70209947,54.19586953,66.04798384,109.0194181,90.58694763,58.22689478,81.23365594
7,439,552.9917841,563.9232642,284.4837201,2724.631552,540.2090985,560.2529105,285.840002,510.8921523,679.1893492,523.5036167,268.5491993,2025.199977,340.3769631,267.8661776,94.49753805,188.4995292,666.2943734,682.2830231,211.3114031,2955.240986,423.6577455,337.4815304,163.00065,1457.597048,209.6480156,192.7119623,61.77112265,155.1357508,434.4046617,441.5968077,138.2142672,1589.741834,532.1159482,974.0109469,347.0858773,418.5017946,128.786956,108.9289796,55.39193337,70.42218458,127.9981214,105.251842,60.11098033,90.21095655
8,512,616.2666174,589.1082959,284.5219902,2724.988061,602.7854221,584.4638369,285.8786475,513.04742,746.9659442,554.6400456,268.5797232,2025.461127,386.9467313,293.6272208,94.50270257,188.741876,737.0725834,733.4636946,211.3228286,2955.749264,470.6179226,358.1710524,163.0197359,1457.780692,239.3197736,212.5458879,61.77772655,156.1881246,483.0635989,479.7612032,138.2228945,1590.585541,582.0196427,1023.552872,357.0198017,442.1614498,147.0479658,123.6422092,56.03758292,73.69090563,146.1314562,119.4353827,61.22983737,97.83593604
9,585,673.3459474,613.5522513,284.5119524,2724.883683,659.4177268,607.9882356,285.8685025,514.3303275,805.9707444,584.6002882,268.5719453,2025.385597,431.0190749,318.7085776,94.5022978,188.8311514,799.6921933,781.3811664,211.3205653,2955.686247,512.6282813,378.1752733,163.014897,1457.730431,267.6622917,231.8243271,61.7791921,156.7701394,526.7133208,515.3676021,138.2238257,1590.826067,624.7826361,1066.298274,363.4808032,460.2128518,164.4997675,137.8553106,56.38608237,76.13323773,163.4570794,133.1512748,61.89419164,104.3105247
