"","1P","2PS","2PP","3PP"
"DASE_C",0.730567427185535,0.995052443033721,0.94047198181157,0.894319540106436
"DASE_O",0.720991691228252,0.993829744650726,0.939035503051241,0.996853278052358
"AD_S",0.789020257334584,0.997860278194159,0.979857584484758,0.971596594880734
"POET_S",0.923559085688757,0.997631255484818,0.973114775774496,0.997211761698452
"NREL_S",0.932391922829531,0.997300014808082,0.957050504333026,0.95105699111261
"AD_N",0.805208606457455,0.997459839701972,0.971858286254185,0.962894991015938
"POET_N",0.966488719740404,0.996078106304929,0.969747843994904,0.994540996455495
"NREL_N",0.967800655262212,0.995152649658422,0.976266420619565,0.979090246963934
"CS_N",0.995962100689654,0.995314701646199,0.998065298974237,0.997773748941266
"GWC16",0.98402198723712,0.99639293226792,0.999501157167336,0.999044914093762
"GWC20",0.991186546385127,0.998695206962226,0.9996533830938,0.998874308642242
