"","days","DASE_C","DASE_O","AD_S","POET_S","NREL_S","AD_N","POET_N","NREL_N","CS_N","GWC16","GWC20"
"1",1,0,0,0,0,0,0,0,0,0,0,0
"2",74,0,0,0,0,0,0,0,0,0,0,0
"3",147,0,0,0,0,0,0,0,0,0,0,0
"4",220,0,0,0,0,0,0,0,0,0,0,0
"5",293,0,0,0,0,0,0,0,0,0,0,0
"6",366,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"7",439,0,0,0,0,0,0,0,0,0,0,0
"8",512,0,0,0,0,0,0,0,0,0,0,0
"9",585,0,0,0,0,0,0,0,0,0,0,0
"10",658,0,0,0,0,0,0,0,0,0,0,0
"11",731,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"12",804,0,0,0,0,0,0,0,0,0,0,0
"13",877,0,0,0,0,0,0,0,0,0,0,0
"14",950,0,0,0,0,0,0,0,0,0,0,0
"15",1023,0,0,0,0,0,0,0,0,0,0,0
"16",1096,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"17",1169,0,0,0,0,0,0,0,0,0,0,0
"18",1242,0,0,0,0,0,0,0,0,0,0,0
"19",1315,0,0,0,0,0,0,0,0,0,0,0
"20",1388,0,0,0,0,0,0,0,0,0,0,0
"21",1461,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"22",1534,0,0,0,0,0,0,0,0,0,0,0
"23",1607,0,0,0,0,0,0,0,0,0,0,0
"24",1680,0,0,0,0,0,0,0,0,0,0,0
"25",1753,0,0,0,0,0,0,0,0,0,0,0
"26",1826,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"27",1899,0,0,0,0,0,0,0,0,0,0,0
"28",1972,0,0,0,0,0,0,0,0,0,0,0
"29",2045,0,0,0,0,0,0,0,0,0,0,0
"30",2118,0,0,0,0,0,0,0,0,0,0,0
"31",2191,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"32",2264,0,0,0,0,0,0,0,0,0,0,0
"33",2337,0,0,0,0,0,0,0,0,0,0,0
"34",2410,0,0,0,0,0,0,0,0,0,0,0
"35",2483,0,0,0,0,0,0,0,0,0,0,0
"36",2556,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"37",2629,0,0,0,0,0,0,0,0,0,0,0
"38",2702,0,0,0,0,0,0,0,0,0,0,0
"39",2775,0,0,0,0,0,0,0,0,0,0,0
"40",2848,0,0,0,0,0,0,0,0,0,0,0
"41",2921,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"42",2994,0,0,0,0,0,0,0,0,0,0,0
"43",3067,0,0,0,0,0,0,0,0,0,0,0
"44",3140,0,0,0,0,0,0,0,0,0,0,0
"45",3213,0,0,0,0,0,0,0,0,0,0,0
"46",3286,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"47",3359,0,0,0,0,0,0,0,0,0,0,0
"48",3432,0,0,0,0,0,0,0,0,0,0,0
"49",3505,0,0,0,0,0,0,0,0,0,0,0
"50",3578,0,0,0,0,0,0,0,0,0,0,0
"51",3651,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"52",3724,0,0,0,0,0,0,0,0,0,0,0
"53",3797,0,0,0,0,0,0,0,0,0,0,0
"54",3870,0,0,0,0,0,0,0,0,0,0,0
"55",3943,0,0,0,0,0,0,0,0,0,0,0
"56",4016,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"57",4089,0,0,0,0,0,0,0,0,0,0,0
"58",4162,0,0,0,0,0,0,0,0,0,0,0
"59",4235,0,0,0,0,0,0,0,0,0,0,0
"60",4308,0,0,0,0,0,0,0,0,0,0,0
"61",4381,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"62",4454,0,0,0,0,0,0,0,0,0,0,0
"63",4527,0,0,0,0,0,0,0,0,0,0,0
"64",4600,0,0,0,0,0,0,0,0,0,0,0
"65",4673,0,0,0,0,0,0,0,0,0,0,0
"66",4746,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"67",4819,0,0,0,0,0,0,0,0,0,0,0
"68",4892,0,0,0,0,0,0,0,0,0,0,0
"69",4965,0,0,0,0,0,0,0,0,0,0,0
"70",5038,0,0,0,0,0,0,0,0,0,0,0
"71",5111,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"72",5184,0,0,0,0,0,0,0,0,0,0,0
"73",5257,0,0,0,0,0,0,0,0,0,0,0
"74",5330,0,0,0,0,0,0,0,0,0,0,0
"75",5403,0,0,0,0,0,0,0,0,0,0,0
"76",5476,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"77",5549,0,0,0,0,0,0,0,0,0,0,0
"78",5622,0,0,0,0,0,0,0,0,0,0,0
"79",5695,0,0,0,0,0,0,0,0,0,0,0
"80",5768,0,0,0,0,0,0,0,0,0,0,0
"81",5841,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"82",5914,0,0,0,0,0,0,0,0,0,0,0
"83",5987,0,0,0,0,0,0,0,0,0,0,0
"84",6060,0,0,0,0,0,0,0,0,0,0,0
"85",6133,0,0,0,0,0,0,0,0,0,0,0
"86",6206,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"87",6279,0,0,0,0,0,0,0,0,0,0,0
"88",6352,0,0,0,0,0,0,0,0,0,0,0
"89",6425,0,0,0,0,0,0,0,0,0,0,0
"90",6498,0,0,0,0,0,0,0,0,0,0,0
"91",6571,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"92",6644,0,0,0,0,0,0,0,0,0,0,0
"93",6717,0,0,0,0,0,0,0,0,0,0,0
"94",6790,0,0,0,0,0,0,0,0,0,0,0
"95",6863,0,0,0,0,0,0,0,0,0,0,0
"96",6936,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"97",7009,0,0,0,0,0,0,0,0,0,0,0
"98",7082,0,0,0,0,0,0,0,0,0,0,0
"99",7155,0,0,0,0,0,0,0,0,0,0,0
"100",7228,0,0,0,0,0,0,0,0,0,0,0
"101",7301,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"102",7374,0,0,0,0,0,0,0,0,0,0,0
"103",7447,0,0,0,0,0,0,0,0,0,0,0
"104",7520,0,0,0,0,0,0,0,0,0,0,0
"105",7593,0,0,0,0,0,0,0,0,0,0,0
"106",7666,664.092011,664.224585,668.063965,674.809499,746.066085,333.617312,337.195283,372.710457,345.811145,0,0
"107",7739,0,0,0,0,0,0,0,0,0,0,0
"108",7812,0,0,0,0,0,0,0,0,0,0,0
"109",7885,0,0,0,0,0,0,0,0,0,0,0
"110",7958,0,0,0,0,0,0,0,0,0,0,0
