YEAR,days,DASE_C,DASE_O,DASE_AVG,AD_S,POET_S,NREL_S,AD_N,POET_N,NREL_N,CS_N,GWC16,GWC20,PALOUSE,CS_1P,,AD_1P,CCBP_P,DASE_1P,VERSHIRE,CS_1V,AD_1V,CCBP_V,DASE_1V
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,74,456.8265095,459.2472619,456.7014677,372.0421259,135.6784063,392.0347824,238.1505721,89.37900442,217.0750332,616.7107321,27.21070902,26.00568885,26.82614346,178.9015498,0.156245895,107.5494586,185.1236378,182.1279305,26.10154104,178.6239666,116.0013732,180.3911537,180.4821834
0.4,147,448.4430359,449.2304848,447.5004351,380.9605455,155.9631965,435.2446512,244.0002801,106.4397319,256.9775222,676.018502,44.60436942,43.35897141,44.60919366,279.9271047,0.244477821,152.3095726,262.4372844,191.8920482,45.0130199,279.8535645,157.1181602,257.2629905,190.2441252
0.6,220,486.4317185,486.0764253,484.7876265,424.6890224,186.9880512,508.9307671,272.4350904,130.1400049,310.9040345,776.3408547,61.64381079,59.74153699,61.34043119,356.6276197,0.31146517,184.1190114,338.5661749,218.4496247,59.9099264,356.4332232,199.3287185,333.3367316,216.8092755
0.8,293,511.0332533,509.4906485,508.7074247,457.3599266,214.1798407,569.0904369,293.8555346,151.2827854,356.7813759,849.8909418,77.92858982,75.41497879,77.30560876,422.1441727,0.368684867,211.7743848,406.4556664,239.8724117,72.5209771,422.8775897,238.9549752,403.7583847,238.452712
1,366,538.2886483,535.6544395,535.3250312,491.3873267,241.4836338,627.8524619,316.2408454,172.355369,400.8110086,880.866037,93.70209947,90.58694763,92.72378018,481.0958188,0.420171021,238.0012958,469.3177019,262.0685207,83.82032499,484.3374152,277.8455127,471.1652679,261.0225548
1.2,439,563.9232642,560.2529105,560.3580605,523.5036167,267.8661776,682.2830231,337.4815304,192.7119623,441.5968077,880.866037,108.9289796,105.251842,107.5916966,534.9044069,0.467165421,263.2536894,526.9033532,283.467241,94.34808906,542.3617741,315.5838218,535.1258947,282.9567744
1.4,512,589.1082959,584.4638369,584.9769071,554.6400456,293.6272208,733.4636946,358.1710524,212.5458879,479.7612032,880.866037,123.6422092,119.4353827,121.9380794,584.2770916,0.51028567,287.7047229,579.8212563,304.5020519,104.4063695,597.5548793,352.3205761,595.9685505,304.6793245
1.6,585,613.5522513,607.9882356,608.8858685,584.6002882,318.7085776,781.3811664,378.1752733,231.8243271,515.3676021,880.866037,137.8553106,133.1512748,135.7790723,629.6422789,0.54990592,311.3976005,628.4047811,325.0674192,114.1636327,650.1758705,388.0503955,653.8035409,326.0802428
1.8,658,637.3576186,630.9309935,632.1901426,613.4905111,343.148128,826.3002086,397.5586801,250.5758942,548.6171661,880.866037,151.5863636,146.4155604,149.1331196,671.3458726,0.586328273,334.3639092,673.0215499,345.2053007,123.7141069,700.3847161,422.8099404,708.7913716,347.195862
