"treatment","time","source","inc_fn1","frac_fn1","amt_fn1","frac_fn2","amt_fn2","diff","stdev"
"AD_1P",1,"res",1,0.485688777,462.0262175,0.00976678513591857,11.8267901291612,73.7114485,11.8267901291612
"AD_1P",1,"soil",1,0.514311223,489.201683,0.00976678513591857,6.6046163383744,25.146754,7.00359945295632
"AD_1V",1,"res",1,0.308736073333333,478.397068,0.00904248066430475,27.8825439559168,60.9121823333334,28.1103623828344
"AD_1V",1,"soil",1,0.691263926666667,1070.723103,0.00904248066430475,41.4178814791218,41.650335,42.1386982451042
"AD_N",1,"res",2,0.257227817666667,182.454971333333,0.00557382145106679,2.71784208287058,151.162340666667,2.71820520260397
"AD_N",1,"soil",2,0.742772182333333,526.958198333333,0.00557382145106681,10.3312648844678,8.60774866666668,10.3392774579129
"AD_S",1,"res",2,0.408664757666667,370.047502,0.0262214059020607,39.494639269075,298.016462333333,39.4999451064648
"AD_S",1,"soil",2,0.591335242333333,533.805672333333,0.0262214059020607,5.82365390321188,1.02115833333346,5.85876233853032
"CS_1P",1,"res",1,0.36972423775,262.065141,0.026027741921865,29.1561158247189,370.74867,30.0403194548395
"CS_1P",1,"soil",1,0.63027576225,445.319154,0.026027741921865,10.1244648885816,67.52367875,10.3312394043491
"CS_1V",1,"res",1,0.25103834175,355.528642,0.0206634793141957,40.4867265892114,279.37366325,41.1986951414805
"CS_1V",1,"soil",1,0.74896165825,1057.834637,0.0206634793141957,19.2690425092669,59.6331837499999,19.8518121349685
"CS_N",1,"res",2,0.224898352333333,138.958771,0.0120523333968998,11.3377537269588,206.852374,11.3439540774216
"CS_N",1,"soil",2,0.775101647666667,478.328223,0.0120523333968998,9.5641753881284,56.7266693333333,9.57372477524449
"DASE_1P",1,"res",1,0.53232928025,548.34281575,0.0163782595933761,28.3477804701267,124.469611,29.9935456678119
"DASE_1P",1,"soil",1,0.46767071975,481.25072075,0.0163782595933761,8.13666044410582,34.063575,8.15726378218926
"DASE_1V",1,"res",1,0.380530264,580.677484,0.00937988317531098,19.2980485593731,93.239725,21.4544598275322
"DASE_1V",1,"soil",1,0.619469736,945.1302785,0.00937988317531102,6.19488543533619,168.966259,6.82347407536668
"DASE_AVG",1,"res",2,0.452813102666667,432.183562666667,0.0185597469308653,26.7327386331976,231.974735,26.7572119202253
"DASE_AVG",1,"soil",2,0.547186897333333,514.961899333333,0.0185597469308653,4.77194232557001,19.9827506666667,4.82832742903125
"NREL_N",1,"res",2,0.345331402,250.099383333333,0.0227966879082021,19.4424167404126,122.611073666667,19.4434301633244
"NREL_N",1,"soil",2,0.654668598,473.794872333333,0.0227966879082021,12.7803980470239,60.5712896666667,12.8226312001443
"NREL_S",1,"res",2,0.477541798666667,466.08664,0.0090003758931256,21.5360660718813,279.979445333333,21.548814101285
"NREL_S",1,"soil",2,0.522458201333333,509.591375333333,0.00900037589312556,5.69845727081659,24.6698476666667,5.74903591675417
"POET_N",1,"res",2,0.362282733666667,284.934808666667,0.0167826562721647,23.7997518853776,52.2604746666667,23.8029825748917
"POET_N",1,"soil",2,0.637717266333333,500.641806333333,0.0167826562721647,6.689759373814,34.153581,6.70127806111316
"POET_S",1,"res",2,0.465005951666667,452.795378333333,0.00420894353055754,8.77011151851026,222.014120333333,8.77734488308843
"POET_S",1,"soil",2,0.534994048333333,521.111249666667,0.00420894353055754,18.9299876475254,12.8487963333333,18.94696851598
