"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,0,0,0,0,0,0,0,0,0,0,0
"2",74,118.301269640595,114.720893168838,157.217404369176,65.5215662528987,149.495408077667,92.4567231182469,39.516731928445,94.7093949910817,128.919010752625,24.3074455782016,24.15633029113
"3",147,224.932112470443,218.464995233559,293.885317086615,127.491539833252,281.5345008854,175.078356171562,77.2426705814931,179.529755596011,238.968084335376,47.522502850894,47.2221627609811
"4",220,321.044117613534,312.282844771984,412.691961254878,186.102594715938,398.156747140596,248.911527063305,113.25902588796,255.494032196174,332.913777574894,69.6942924869615,69.2467547269994
"5",293,407.674771482022,397.124043484927,515.970133975441,241.536562749335,501.161739747558,314.89091949474,147.643179775022,323.526751397449,413.108542307302,90.8696529416252,90.2770640526635
"6",366,485.759394901621,473.847491237044,605.750099501723,293.965728659235,592.139574941227,373.851971447139,180.469121635107,384.456073618304,481.566589110715,111.093369557371,110.357981754623
"7",439,556.140983410081,543.229833141869,683.79591376623,343.552964983338,672.494592719114,426.541260083838,211.807463284496,439.023697841003,540.006218745806,130.4082114576,129.532368208203
"8",512,619.579589940816,605.973633226266,751.641265716905,390.452288275129,743.467004650487,473.625797443466,241.725613472496,487.893754360197,589.892828711628,148.855020791429,147.84114412457
"9",585,676.76008450696,662.714028528769,810.619062858332,434.809418130678,806.152251755158,515.701856660757,270.287936055902,531.661184134208,632.478446698484,166.472809845939,165.323388606694
"10",658,728.299825999894,714.025439788453,861.888670318947,476.762164791231,861.518369641687,553.302276995538,297.555874353268,570.858857447082,668.831494674089,183.298835946332,182.016414807825
"11",731,774.755262447881,760.427321033538,906.457434150691,516.440852873306,910.419799621851,586.903085300635,323.588087019432,605.963854020437,699.864228591221,199.368681676355,197.955851070451
"12",804,816.627952828946,802.389419098988,945.201147730493,553.968748440813,953.611366058826,616.929724408383,348.440574642011,637.40349236561,726.355030653386,214.716330690005,213.175717523457
"13",877,854.369969324073,840.336534067762,978.881131162538,589.462436247893,991.759771858555,643.762390886398,372.166797009524,665.560483382818,748.968498364456,229.374237968716,227.708497052937
"14",950,888.388792871503,874.652819922162,1008.15922094413,623.032181010833,1025.45388516526,667.740833343546,394.817795693424,690.777574206732,768.272639943585,243.373401558429,241.585207821233
"15",1023,919.051712425724,905.685680094359,1033.61069674086,654.782270254636,1055.21378545216,689.168652213873,416.442299745258,713.361716598912,784.751585809991,256.743427565958,254.835468835617
"16",1096,946.689782837551,933.749277294351,1055.73569209177,684.811338583111,1081.49882997982,708.317157426863,437.086827241086,733.587815906914,798.818792749866,269.512590100785,267.487560496986
"17",1169,971.601400985699,959.127714379706,1074.96898109336,713.21267429256,1104.71475484296,725.42880506648,456.795788325793,751.702080211697,810.827229436355,281.707892353745,279.568486278222
"18",1242,994.055527216057,982.077911016621,1091.68850660291,740.074509101594,1125.21992280245,740.720259984619,475.611580870382,767.925010223839,821.078226312703,293.355124214107,291.10403085918
"19",1315,1014.29458924017,1002.83220427248,1106.22281403395,765.480292010237,1143.33084970756,754.385138954028,493.574681454889,782.454082676333,829.828971381296,304.47891660346,302.118814955413
"20",1388,1032.53709967588,1021.60070092626,1118.85750621917,789.508948644699,1159.32709364121,766.59646343121,510.723732258629,795.466155509403,837.29901141938,315.102793471813,312.636347773209
"21",1461,1048.98001518615,1038.57340447447,1129.84086145126,812.235126438103,1173.45557020776,777.508850256588,527.095624248608,807.119620637543,843.675783185672,325.24922154588,322.679077188617
"22",1534,1063.80086297302,1053.92213862784,1139.38870744248,833.729426561952,1185.9343658096,787.260469457106,542.725576613356,817.556332084171,849.119295671933,334.939657892391,332.26843771106
"23",1607,1077.15965746508,1067.80228680024,1147.6886640568,854.058623228639,1196.95610209291,795.974793699909,557.647212504703,826.903332710935,853.766133939276,344.194595291389,341.424896228409
"24",1680,1089.20062791692,1080.35436512575,1154.90382832423,873.285871136046,1206.69090972185,803.762161667409,571.892631333614,835.274400661408,857.732893780916,353.033605550846,350.167995667557
"25",1753,1100.05377539602,1091.70544484184,1161.17598088787,891.470901655263,1215.2890538985,810.72117514668,585.492477828031,842.771434355616,861.119106705193,361.47538089569,358.516396705355
"26",1826,1109.83627685306,1101.97043901,1166.62837203167,908.670208422904,1222.88325457993,816.939947497608,598.476007963485,849.485692863981,864.009737359406,369.537773502546,366.487917602258
"27",1899,1118.65374990168,1111.25326572029,1171.36814340523,924.937222821158,1229.59073503184,822.497219324671,610.871151898341,855.498906777048,866.477315723514,377.237833252388,374.099572232297
"28",1972,1126.60139317352,1119.64790005406,1175.48843339921,940.32247997307,1235.5150312018,827.463355471406,622.704574055062,860.884273086633,868.583756729347,384.5918437858,381.367606395479
"29",2045,1133.76501398312,1127.23932536359,1179.07020734976,954.873775732808,1240.74758988925,831.901235962979,634.00173048068,865.707346189878,870.38191389074,391.615356938464,388.307532491511
"30",2118,1140.22195488491,1134.10439366003,1182.18384853757,968.636315168836,1245.36918030815,835.867052178168,644.786923606798,870.026835862831,871.916905462542,398.323225628864,394.934162627982
"31",2191,1146.04192873481,1140.31260368038,1184.89054124932,981.65285299832,1249.45114083181,839.411018331045,655.083354529947,873.895321916295,873.227246498084,404.729635268638,401.261640234603
"32",2264,1151.28777132937,1145.92680444166,1187.24347307218,993.963826409577,1253.05648016448,842.578007271336,664.913172922192,877.359894233608,874.345815266713,410.848133761478,407.303470250395
"33",2337,1156.01611981282,1151.00383148884,1189.28888005129,1005.60748068369,1256.2408499369,845.408118653689,674.297524679193,880.462725981226,875.30067820395,416.69166015331,413.072547947573
"34",2410,1160.2780241643,1155.59508227125,1191.06695524653,1016.61998800752,1259.05340373886,847.937186669881,683.256597409225,883.241586969611,876.115794139574,422.272571994995,418.581186454295
"35",2483,1164.11949836289,1159.74703646631,1192.6126385419,1027.03555984626,1261.53755584878,850.197233772764,691.809663860738,885.730303413451,876.81161545905,427.602671475371,423.841143034979
"36",2556,1167.58201718113,1163.50172651808,1193.95630322831,1036.88655322479,1263.73165137184,852.216876136887,699.975123381875,887.959169687703,877.405601280342,432.693230379831,428.863644184204
"37",2629,1170.70296397051,1166.89716315407,1195.1243528507,1046.20357124801,1265.66955813087,854.021685989637,707.770541501131,889.955317091635,877.912655528394,437.555013927248,433.659409587782
"38",2702,1173.5160342738,1169.96772018808,1196.13974004824,1055.01555817252,1267.38118944649,855.634515400648,715.212687714301,891.74304410974,878.345500894845,442.198303535629,438.238675002128
"39",2775,1176.05159962152,1172.74448250466,1197.0224175828,1063.34988932485,1268.89296587584,857.075785629232,722.317571559003,893.344112189667,878.714998067898,446.632918564665,442.611214100762
"40",2848,1178.33703544055,1175.2555607479,1197.78973041863,1071.23245614568,1270.22822303753,858.363745693465,729.100477054381,894.778010637585,879.030418242135,450.868237081145,446.786359334577
"41",2921,1180.39701661501,1177.52637590052,1198.45675655782,1078.68774662421,1271.4075718177,859.514703434879,735.575995580067,896.062193855474,879.29967574549,454.913215691146,450.773021850392
"42",2994,1182.25378389053,1179.57991663396,1199.03660332903,1085.73892137256,1272.44921651746,860.543232004443,741.75805726515,897.212293808161,879.529526620718,458.776408480943,454.57971051029
"43",3067,1183.92738399826,1181.43697203499,1199.54066495171,1092.40788557656,1273.36923585252,861.462354384305,747.659960954649,898.242310306387,879.725738143833,462.4659851067,458.214550052368
"44",3140,1185.43588609084,1183.11634206468,1199.978846437,1098.71535704642,1274.18183114252,862.283708281671,753.29440281798,899.164781422171,879.893233533028,465.98974807118,461.685298431618
"45",3213,1186.79557682749,1184.63502788043,1200.3597582252,1104.68093057871,1274.89954552109,863.017693482662,758.673503660939,899.990936110877,880.036215479022,469.355149224025,464.999363377985
"46",3286,1188.02113621413,1186.00840394777,1200.69088538428,1110.32313882954,1275.5334575503,863.673603531913,763.808834999974,900.730830897819,880.158271596379,472.569305520503,468.16381820692
"47",3359,1189.12579609721,1187.25037368421,1200.97873469448,1115.65950988816,1276.09335222814,864.259743405206,768.711443954811,901.393472293221,880.262464441711,475.639014072023,471.185416916187
"48",3432,1190.12148302239,1188.373510211,1201.22896250912,1120.7066217297,1276.58787202873,864.783534665085,773.391877013017,901.986926425688,880.351408357456,478.570766520279,474.070608601138
"49",3505,1191.01894700034,1189.38918363748,1201.44648590418,1125.48015371637,1277.0246503066,865.251609430899,777.860202717585,902.518417228686,880.427335069342,481.370762765395,476.825551219223
"50",3578,1191.82787757014,1190.30767616681,1201.63557930078,1129.99493530695,1277.41042912433,865.669894353106,782.126033326377,902.99441437525,880.492149683467,484.044924077113,479.456124733117
"51",3651,1192.55700841308,1191.13828618813,1201.79995845932,1134.26499212599,1277.75116332233,866.043685655104,786.198545490007,903.420712031315,880.547478488044,486.598905616755,481.967943660515
