inc,dose,soil_type,treatment,num,sample,rep,time,source,frac,amt
2,S,,DASE_AVG,1,1A,A,0,res,0.553171592,0.663289202
2,S,,DASE_AVG,1,1B,B,0,res,0.554617065,0.665454576
2,S,,DASE_AVG,1,1C,C,0,res,0.553850059,0.663731115
2,S,,AD_S,3,3A,A,0,res,0.555353811,0.667989916
2,S,,AD_S,3,3B,B,0,res,0.554862384,0.667456768
2,S,,AD_S,3,3C,C,0,res,0.555929971,0.668745209
2,S,,POET_S,4,4A,A,0,res,0.558301883,0.674674842
2,S,,POET_S,4,4B,B,0,res,0.558480639,0.674540185
2,S,,POET_S,4,4C,C,0,res,0.558002437,0.675213469
2,S,,NREL_S,5,5A,A,0,res,0.582721139,0.746611999
2,S,,NREL_S,5,5B,B,0,res,0.583211035,0.746363857
2,S,,NREL_S,5,5C,C,0,res,0.582213279,0.7452224
2,N,,AD_N,6,6A,A,0,res,0.384066727,0.333661741
2,N,,AD_N,6,6B,B,0,res,0.383710539,0.333572883
2,N,,AD_N,6,6C,C,0,res,0.383708426,0.333617312
2,N,,POET_N,7,7A,A,0,res,0.386468991,0.33709055
2,N,,POET_N,7,7B,B,0,res,0.386965039,0.337629177
2,N,,POET_N,7,7C,C,0,res,0.386653766,0.336866123
2,N,,NREL_N,8,8A,A,0,res,0.410380824,0.372710457
2,N,,NREL_N,8,8B,B,0,res,0.411117126,0.372908971
2,N,,NREL_N,8,8C,C,0,res,0.411178814,0.372511943
2,N,,CS_N,9,9A,A,0,res,0.39240898,0.345381394
2,N,,CS_N,9,9B,B,0,res,0.392792009,0.345979976
2,N,,CS_N,9,9C,C,0,res,0.392541492,0.346072065
2,,,ONESIX,S1,S1A,A,0,res,0,0
2,,,ONESIX,S1,S1B,B,0,res,0,0
2,,,ONESIX,S1,S1C,C,0,res,0,0
2,,,TWENTY,S2,S2A,A,0,res,0,0
2,,,TWENTY,S2,S2B,B,0,res,0,0
2,,,TWENTY,S2,S2C,C,0,res,0,0
1,,P,PALOUSE,P1,P1A,A,0,res,0,0
1,,P,PALOUSE,P1,P1B,B,0,res,0,0
1,,P,PALOUSE,P1,P1C,C,0,res,0,0
1,,P,PALOUSE,P1,P1D,D,0,res,0,0
1,,P,CS_1P,P2,P2A,A,0,res,0.553333734,0.639079294
1,,P,CS_1P,P2,P2B,B,0,res,0.550295363,0.626548328
1,,P,CS_1P,P2,P2C,C,0,res,0.550240449,0.626548328
1,,P,CS_1P,P2,P2D,D,0,res,0.555519919,0.639079294
1,,P,AD_1P,P3,P3A,A,0,res,0.509385259,0.535737666
1,,P,AD_1P,P3,P3B,B,0,res,0.520228009,0.560738757
1,,P,AD_1P,P3,P3C,C,0,res,0.510986277,0.535737666
1,,P,CCBP_1P,P4,P4A,A,0,res,0.55399539,0.635429237
1,,P,CCBP_1P,P4,P4B,B,0,res,0.553721109,0.635429237
1,,P,CCBP_1P,P4,P4C,C,0,res,0.554756133,0.643901626
1,,P,CCBP_1P,P4,P4D,D,0,res,0.552572091,0.635429237
1,,P,DASE_1P,P5,P5A,A,0,res,0.562619731,0.662869386
1,,P,DASE_1P,P5,P5B,B,0,res,0.567865654,0.676126774
1,,P,DASE_1P,P5,P5C,C,0,res,0.570563326,0.684965032
1,,P,DASE_1P,P5,P5D,D,0,res,0.563983174,0.667288515
1,,V,VERSHIRE,V1,V1A,A,0,res,0,0
1,,V,VERSHIRE,V1,V1B,B,0,res,0,0
1,,V,VERSHIRE,V1,V1C,C,0,res,0,0
1,,V,VERSHIRE,V1,V1D,D,0,res,0,0
1,,V,CS_1V,V2,V2A,A,0,res,0.359998326,0.626548328
1,,V,CS_1V,V2,V2B,B,0,res,0.361717042,0.630725316
1,,V,CS_1V,V2,V2C,C,0,res,0.362759459,0.639079294
1,,V,CS_1V,V2,V2D,D,0,res,0.364730976,0.643256283
1,,V,AD_1V,V3,V3A,A,0,res,0.327561133,0.53930925
1,,V,AD_1V,V3,V3B,B,0,res,0.323312717,0.535737666
1,,V,AD_1V,V3,V3C,C,0,res,0.328703268,0.542880835
1,,V,CCBP_1V,V4,V4A,A,0,res,0.365428863,0.643901626
1,,V,CCBP_1V,V4,V4B,B,0,res,0.361794966,0.631193042
1,,V,CCBP_1V,V4,V4C,C,0,res,0.360148515,0.626956847
1,,V,CCBP_1V,V4,V4D,D,0,res,0.363946124,0.639665431
